track_id,track_title,artist_name,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
168,Ashan breedak,Kamal Tarbas,10,1985,0.497,0.52,4,-6.057,0,0.78,0.0002,0.0531,0.833,137.802,609880,3
169,Ashekh Seyaroh,Rasha,5,1997,0.475,0.306,11,-13.356,1,0.58,0,0.247,0.971,68.393,320850,4
170,Ashku laik ya rabbi,Omer Elamin,4,2016,0.514,0.375,5,-10.077,0,0.74,0.129,0.621,0.619,101.231,179984,4
171,Asiya Addam'ee,Abdel Karim Alkabli,4,2000,0.497,0.376,7,-10.092,1,0.7,0.047,0.0724,0.457,116.398,1223333,4
172,Asmar,Abd al Hafiz Karar,1,1999,0.612,0.128,0,-29.394,1,0.87,0.428,0.0842,0.898,167.119,334573,4
173,Asmar gameel,Mohamed Aljazar,10,2013,0.667,0.803,5,-4.032,0,0.41,0,0.304,0.974,149.909,233735,4
174,Asmari,Gamal Musbah,19,2019,0.683,0.632,3,-6.791,1,0.81,0,0.0967,0.848,75.075,228859,4
175,Asyad allwari,Roaa Naeem,29,2020,0.724,0.467,2,-15.123,0,0.57,0,0.0989,0.978,144.004,198113,4
176,Awsaf habeebak,Talal Alsatta,12,2021,0.726,0.47,11,-9.606,1,0.52,0,0.16,0.695,101.999,398054,3
177,Ayam safana,Mahmoud Abdelaziz,6,1996,0.381,0.603,8,-5.112,1,0.88,0.0087,0.141,0.613,201.456,460631,4
178,Ayam wafana,Abdel Karim Alkabli,7,2006,0.469,0.724,7,-5.843,1,0.19,0.0094,0.0674,0.806,101.417,408267,1
179,Ayamna,Abdalla Kunna,3,2020,0.344,0.389,11,-19.323,0,0.71,0.0025,0.377,0.708,160.402,360307,4
180,Azara alhai,Rasha,33,1997,0.719,0.427,0,-10.358,0,0.7,0.0009,0.137,0.754,77.991,387903,4
181,Azara alhay,Abdul Aziz Mohammed Daoud,1,2018,0.569,0.595,5,-10.799,1,0.8,0.0031,0.109,0.881,92.766,537240,4
182,Azkurini ya hamama,Gamal Farfour,11,2015,0.625,0.519,5,-7.966,0,0.93,0.0001,0.333,0.669,112.169,418727,3
183,Azza,Moddathir Meshmesh,0,2014,0.463,0.816,10,-2.824,1,0.4,0,0.41,0.879,110.283,462200,4
184,Azzinik erifti,Mostafa Sid Ahmed,14,1992,0.423,0.34,7,-14.395,1,0.29,0.0002,0.105,0.836,203.764,463700,3
185,Baad algheyab,Mahmoud Abdelaziz,8,2007,0.513,0.363,10,-14.478,0,0.77,0.0088,0.133,0.655,85.483,702647,4
186,Babadelom berraid bebadluni be azeya,Hiba Jabra,7,2020,0.429,0.865,0,-6.862,0,0.19,0,0.204,0.799,112.036,582661,4
187,Badr albudur,Ahmed Amin,18,2019,0.696,0.461,5,-13.14,1,0.27,0,0.125,0.726,173.037,187399,4
188,Badr assama,Malaz Ghazi,3,2020,0.374,0.269,11,-22.101,1,0.77,0,0.37,0.777,141.791,323239,3
189,Badur Musa,Hiba Jabra,6,2020,0.53,0.865,6,-6.772,1,0.3,0.0549,0.0902,0.914,159.917,261068,4
190,Bafrah beha,Mahmoud Abdelaziz,11,2002,0.518,0.719,5,-1.076,1,0.49,0.0001,0.227,0.612,161.388,527650,4
191,Bahisik,Mahmoud Abdelaziz,17,2016,0.446,0.666,10,-6.241,1,0.87,0.0038,0.852,0.848,173.947,325474,4
192,Bahjat omri,Huda Arabi,12,2020,0.652,0.24,2,-20.81,1,0.73,0,0.426,0.967,118.886,203781,4
193,Bahsim alfawda,Talal Alsatta,12,2017,0.807,0.868,6,-6.641,0,0.74,0,0.131,0.95,142.442,342152,3
194,Bain alyaqiza wa alahlam,Alblabel,1,2000,0.361,0.6,0,-3.388,1,0.8,0.0003,0.26,0.47,151.456,439223,4
195,Baitna nawwar,Waleed Juba,7,2020,0.356,0.291,7,-22.433,1,0.69,0.0001,0.353,0.882,110.389,395912,3
196,Baket albakani,Asha Algabal,22,2020,0.731,0.769,0,-5.293,1,0.41,0,0.218,0.866,79.925,140957,4
197,Balad Alsamahat,Kabli,1,2009,0.725,0.511,2,-9.675,1,0.35,0,0.0392,0.825,118.018,503627,4
198,Baladi,Mohamed Alnasri,4,2018,0.552,0.666,9,-4.561,1,0.82,0.0418,0.0972,0.961,70.261,785231,4
199,Banat alhoor,Mahmoud Abdelaziz,5,2013,0.552,0.915,10,-0.032,1,0.14,0.199,0.395,0.927,157.845,356614,4
200,Bareedak ya habibi,Gamal Farfour,12,2015,0.47,0.75,5,-12.211,0,0.19,0.925,0.174,0.906,101.942,381806,4
201,Bareedk,Mahmoud Abdelaziz,4,2000,0.614,0.751,7,-3.348,1,0.83,0.0001,0.18,0.761,136.189,347938,3
202,Barrag al oyoon,Abdel Karim Alkabli,5,2010,0.553,0.557,4,-9.886,0,0.42,0,0.0618,0.83,122.028,564200,3
203,Bartah laik,Mahmoud Abdelaziz,7,2001,0.484,0.472,2,-13.005,1,0.84,0.0036,0.139,0.79,153.881,643607,4
204,Basbara,Sidi Doshka,0,2012,0.572,0.36,0,-8.609,1,0.89,0,0.136,0.868,135.739,167720,4
205,Basma,Gamal Farfour,15,2015,0.765,0.452,2,-15.765,0,0.64,0.0256,0.0797,0.92,157.053,327236,4
206,Bassama,Abdel Gadir Salim All-Stars,8,1991,0.398,0.479,2,-13.867,0,0.77,0.027,0.103,0.916,175.285,288027,3
207,Begeet tamor bena,Egd Aljwaher Band,7,2018,0.713,0.744,0,-3.321,1,0.4,0,0.202,0.685,122.73,355127,1
208,Behokm elseid,Amira Mahmoud Mohammadein,0,2014,0.587,0.862,2,-5.949,1,0.22,0,0.0558,0.868,132.803,447400,3
209,Benayya,Moddathir Meshmesh,0,2014,0.436,0.744,9,-4.474,1,0.45,0,0.112,0.894,149.376,378090,4
210,Benhib baad,Taha Suliman,15,2021,0.785,0.541,1,-7.352,1,0.57,0,0.0411,0.911,162.024,201953,4
211,Benreed al letam,The Scorpios,4,2017,0.874,0.557,0,-8.427,1,0.8,0,0.0583,0.872,135.9,200456,4
212,Besslama,Mostafa Sid Ahmed,9,1992,0.518,0.841,6,-2.621,0,0.61,0,0.343,0.505,125.378,753231,3
213,Betgoli la,Abdelmonem Abu Sam,2,2020,0.6,0.669,7,-8.566,1,0.51,0.057,0.115,0.776,152.951,335621,4
214,Betna nawwar,Shukralla Izzalden,3,2018,0.585,0.693,10,-5.522,1,0.26,0.0018,0.0443,0.871,166.644,322919,4
215,Bi saraha,Abdel Aziz El Mubarak,2,1989,0.425,0.445,10,-11.685,1,0.7,0,0.833,0.742,80.048,415933,4
216,Bi saraha,Insaf Fathi,6,2020,0.476,0.277,0,-21.213,0,0.7,0.0053,0.627,0.639,80.395,295654,4
217,Biladi,A.G Nimeri,13,2020,0.82,0.232,5,-12.645,1,0.28,0,0.1,0.304,118.07,218839,4
218,Bisharook,Taha Suliman,15,2018,0.586,0.483,9,-19.055,1,0.72,0.726,0.341,0.965,122.627,201863,4
219,Bit almuluk,Taha Suliman,6,2020,0.537,0.461,3,-5.208,0,0.78,0,0.0762,0.367,115.852,227927,4
220,Bitgooli la,Abdel Aziz El Mubarak,15,1999,0.424,0.652,10,-10.506,1,0.18,0.0014,0.0914,0.882,161.71,488707,4
221,Bitzid min azabi,Abdel Gadir Salim,5,1999,0.482,0.418,11,-13.54,0,0.79,0,0.106,0.881,83.9,378827,4
222,Boaadak tal,Gamal Musbah,4,2021,0.641,0.391,1,-14.678,1,0.53,0.0015,0.0835,0.734,160.014,163971,4
223,Bringi,Soulja,34,2022,0.713,0.652,1,-10.256,1,0.11,0.0001,0.0651,0.44,95.552,139309,4
224,Bulbultain,Sharhabil Ahmed,7,2017,0.639,0.305,7,-11.781,1,0.77,0.0003,0.146,0.899,137.668,262316,4
225,Charleston,Soulja,27,2021,0.824,0.353,0,-14.008,1,0.33,0,0.179,0.504,83.042,190843,4
226,Chix Bahri,Ahmed Aljigir,2,2020,0.725,0.672,0,-9.819,0,0.84,0,0.232,0.922,157.976,224888,3
227,Daggat galbi,Hussein Alsadig,10,2012,0.749,0.684,6,-7.933,0,0.33,0,0.124,0.974,137.5,271319,3
228,Dallouka,Oum Dermam Stars,17,2017,0.383,0.899,1,-3.937,0,0.55,0,0.167,0.737,83.002,347974,4
229,Dam alshaheed,Ahmed Amin,15,2020,0.437,0.0989,6,-16.381,1,0.97,0,0.101,0.664,150.071,127200,3
230,Damee al itshattat,Mustafa alsunni,3,1999,0.651,0.149,0,-26.243,1,0.84,0.103,0.0951,0.875,81.412,369827,4
231,Damet al ashwag,Moddathir Meshmesh,2,2014,0.493,0.764,0,-3.75,0,0.48,0,0.0565,0.883,154.993,354720,4
232,Damir qawamak,Shukralla Izzalden,8,2021,0.476,0.349,1,-14.307,1,0.72,0,0.427,0.81,124.915,434730,3
233,Daneen al waadi,Abdel Karim Alkabli,6,2010,0.411,0.509,7,-9.723,1,0.63,0.0299,0.107,0.749,103.221,742013,4
234,Dannab,Abdel Karim Alkabli,5,2009,0.427,0.479,5,-8.806,1,0.72,0.0055,0.149,0.751,136.738,317360,3
235,Dar gaal,Eman Alshareef,16,2021,0.609,0.594,10,-5.056,0,0.4,0.0075,0.133,0.867,116.93,223948,4
236,Dayer anwer lek,Abu Obaida Hassan,8,2018,0.733,0.547,8,-11.521,0,0.84,0,0.343,0.962,78.676,303085,4
237,Deel ahom,Taha Suliman,3,2021,0.649,0.546,10,-7.812,0,0.01,0,0.0593,0.913,81.957,266371,4
238,Di hafeyya,Eman Alshareef,22,2020,0.798,0.724,6,-4.702,1,0.57,0,0.086,0.75,138.048,185913,4
239,Diya wo ailan,Rasha,12,1997,0.738,0.476,4,-12.782,0,0.72,0,0.0601,0.928,152.115,264786,4
240,Droob al shoag,Abdelmoniem Ekhaldi,3,2018,0.421,0.635,11,-8.868,0,0.81,0.0387,0.088,0.635,153.419,328430,3
241,Dum tik tik,Taha Suliman,16,2021,0.697,0.654,8,-6.047,1,0.23,0,0.139,0.733,81.096,205166,3
242,Dunya gahreeba,Ahmed Amin,12,2019,0.848,0.53,6,-12.15,1,0.28,0,0.0534,0.954,109.999,221053,4
243,Dunya ya farraqa,Eman Alshareef,23,2021,0.723,0.697,8,-4.283,1,0.4,0,0.117,0.795,119.976,246805,4
244,Dunyatna algameela,Mahmoud Abdelaziz,4,2002,0.458,0.875,7,-4.18,1,0.08,0.0003,0.251,0.831,79.158,314242,4
245,Durrati alghalia,Omer Elamin,19,2021,0.763,0.798,3,-8.708,0,0.4,0,0.0526,0.759,139.925,290560,4
246,Egd allooli,Shukralla Izzalden,8,2018,0.515,0.759,9,-5.671,1,0.4,0.183,0.0583,0.813,178.407,393503,4
247,Egd allooli,Gamal Farfour,2,2015,0.406,0.847,0,-6.569,1,0.13,0.0034,0.344,0.429,136.496,306469,4
248,Eiounak feha sheea,Kamal Tarbas,7,1980,0.439,0.484,0,-9.682,1,0.82,0,0.194,0.85,134.422,286480,3
249,Ejo aideen,The Scorpios,28,2017,0.838,0.43,9,-10.937,0,0.22,0.0122,0.113,0.825,133.721,279406,3
250,El Gayma Banbona & Dannab,Abdel Karim Alkabli,7,2010,0.397,0.636,5,-9.197,1,0.47,0.0001,0.188,0.726,125.879,578000,3
251,El Ghaddara Deema,Amira Mahmoud Mohammadein,0,2014,0.542,0.666,5,-7.988,1,0.56,0,0.112,0.936,131.073,220800,3
252,El Khadar Khadari,Amira Mahmoud Mohammadein,0,2014,0.545,0.728,3,-6.997,1,0.5,0,0.537,0.946,139.343,445600,4
253,El Medalal Dah,Kamal Tarbas,7,1980,0.538,0.473,2,-10.023,1,0.89,0.0002,0.185,0.92,79.66,325160,4
254,El raid yegmaa,Kamal Tarbas,14,1980,0.538,0.583,2,-7.804,1,0.77,0,0.286,0.832,81.69,359267,4
255,Enai ma tabki,Mahmoud Abdulaziz,13,1997,0.542,0.435,5,-16.942,0,0.07,0.0037,0.402,0.734,100.819,445858,3
256,Enai ma tabki,Sabah Abdalla,0,2021,0.535,0.364,0,-11.079,1,0.62,0,0.807,0.684,111.606,296255,3
257,Endi kalma,Mahmoud Abdelaziz,5,2000,0.604,0.929,0,0.229,1,0.81,0.0338,0.0762,0.707,102.857,538198,4
258,Ennaya,Amira Mahmoud Mohammadein,0,2014,0.56,0.763,10,-7.328,1,0.09,0,0.0728,0.901,131.809,222293,3
259,Enta aarif,Huda Arabi,6,2020,0.438,0.335,7,-18.754,1,0.7,0,0.881,0.875,132.954,307096,3
260,Enta hayati,Gamal Farfour,15,2015,0.413,0.494,7,-12.015,0,0.2,0.0856,0.12,0.502,116.26,331050,4
261,Enta ma magboor alaina,Alblabel,0,2000,0.294,0.644,1,-5.437,0,0.99,0.628,0.434,0.947,81.251,356759,4
262,Enta wa ana,Eman Alshareef,22,2021,0.756,0.779,8,-3.706,1,0.14,0,0.0786,0.85,135.004,255687,3
263,Entahat,Wad Almzad,9,2020,0.879,0.494,5,-9.475,0,0.41,0,0.106,0.49,93,242581,4
264,Ente alzola,Shukralla Izzalden,3,2019,0.502,0.41,5,-12.278,0,0.28,0.0072,0.181,0.702,170.724,350782,4
265,Ente layya,Mostafa Sid Ahmed,8,1992,0.533,0.51,10,-11.052,0,0.66,0,0.305,0.595,108.378,549660,4
266,Esheqta shadin,Moddathir Meshmesh,0,2014,0.689,0.652,7,-3.464,0,0.29,0.008,0.0437,0.825,132.492,264748,4
267,Etab,Hussein Alsadig,5,2017,0.394,0.303,9,-13.657,0,0.79,0.0001,0.334,0.766,145.469,340391,3
268,Etafagna,Nada Algalaa,4,2014,0.572,0.587,6,-11.405,1,0.59,0,0.353,0.714,142.47,413087,3
269,Eyoni eyonak,Mahmoud Abdelaziz,0,1996,0.644,0.519,3,-7.511,1,0.79,0.0009,0.12,0.819,96.951,288767,4
270,Ezz eljamor,Kamal Tarbas,11,1980,0.541,0.474,0,-10.528,1,0.8,0,0.14,0.753,128.586,508587,3
271,Fara al ban entaka,Kamal Tarbas,5,1985,0.408,0.816,2,-5.034,1,0.79,0.0004,0.248,0.919,158.349,365560,4
272,Fara almahlab,Roaa Naeem,10,2021,0.889,0.423,1,-9.725,1,0.41,0,0.0902,0.938,119.954,238629,4
273,Faragna aaz alnas,Eman Alshareef,14,2021,0.383,0.427,11,-9.553,1,0.68,0,0.405,0.425,133.283,404140,4
274,Faragooni,Abu Obaida Hassan,5,2018,0.602,0.725,10,-12.363,1,0.91,0.452,0.106,0.975,164.788,205429,4
275,Farhat eid,Ahmed Amin,14,2019,0.802,0.526,4,-12.738,1,0.2,0,0.254,0.681,157.984,226678,4
276,Feek raieh baly,Abdel Karim Alkabli,7,2008,0.581,0.762,11,-7.693,0,0.29,0,0.046,0.838,146.978,446320,3
277,Feriea al ban,Amira Mahmoud Mohammadein,0,2014,0.65,0.706,8,-7.276,1,0.19,0,0.0609,0.895,134.584,450400,3
278,Fi aldawahi,Insaf Fathi,2,2020,0.656,0.484,11,-10.77,0,0.65,0.104,0.314,0.811,151.443,580336,3
279,Fi eyonik,Mostafa Sid Ahmed,17,1992,0.439,0.551,2,-9.054,1,0.17,0.0003,0.657,0.77,119.592,596585,4
280,Fi ezz allel,Abdel Karim Alkabli,4,2006,0.502,0.576,11,-10.251,0,0.07,0.127,0.0611,0.91,125.67,993000,4
281,Fi gheyabak,Mohamed Alnasri,6,2018,0.577,0.329,9,-17.65,1,0.79,0.0149,0.107,0.678,85.449,579448,4
282,Fi hawak ya gameel,Asim Albanna,10,2020,0.398,0.326,5,-20.263,0,0.73,0,0.543,0.832,156.535,396617,4
283,Fi khdedo shama,Hussein Alsadig,5,2011,0.391,0.185,7,-13.934,1,0.88,0,0.355,0.676,70.416,229463,4
284,Fil tammani,Mahmoud Abdelaziz,14,2013,0.429,0.562,9,-9.873,1,0.52,0,0.747,0.595,179.105,282454,4
285,Fortaigt om labos,Abdel Karim Alkabli,4,2006,0.768,0.404,0,-14.097,1,0.33,0.0001,0.0606,0.924,120.091,320360,4
286,Furagak har,Talal Alsatta,13,2019,0.676,0.784,7,-4.152,1,0.69,0,0.0977,0.786,128.085,177998,4
287,Gafani,Amjad Bagera,10,2020,0.541,0.957,4,0.144,1,0.55,0,0.353,0.878,163.506,302132,3
288,Galbak leh tabaddal,Insaf Fathi,9,2020,0.663,0.251,10,-22.146,1,0.7,0,0.29,0.884,114.235,181029,4
289,Galbi la tahwa tani,Samira Dunia,7,2018,0.503,0.473,9,-7.063,0,0.03,0.0001,0.0813,0.809,123.692,274496,3
290,Galbi maho shadeed,Mahmoud Abdelaziz,15,2013,0.677,0.749,1,-9.199,1,0.5,0.3,0.0996,0.93,104.942,443518,4
291,Galbi malu alyom,Gamal Musbah,11,2019,0.405,0.195,6,-10.648,1,0.91,0,0.225,0.758,128.581,137064,4
292,Galbi zad ham,Talal Alsatta,14,2016,0.618,0.742,10,-6.344,1,0.87,0,0.264,0.847,140.988,213629,4
293,Galu lai ayyan,Talal Alsatta,17,2017,0.761,0.529,10,-6.996,1,0.95,0,0.22,0.849,119.854,205270,4
294,Gamar Alzaman,Mostafa Sid Ahmed,14,1996,0.784,0.233,0,-16.301,1,0.73,0,0.0997,0.936,109.502,653401,4
295,Gamar dawa,Sharhabil Ahmed,19,2020,0.619,0.774,7,-4.812,1,0.73,0.0257,0.0681,0.972,83.589,317375,4
296,Gana al babay,Kamal Tarbas,18,1985,0.554,0.627,5,-7.784,0,0.87,0,0.158,0.951,77.185,430560,4
297,Ganaya albreedo,Taha Suliman,22,2020,0.82,0.5,10,-10.896,1,0.66,0,0.0909,0.968,136.963,335961,4
298,Garamak,Abdel Karim Alkabli,4,2006,0.735,0.54,11,-10.16,0,0.41,0.0034,0.0748,0.91,85.953,448440,4
299,Gaseem raidi,Asha Algabal,5,2021,0.554,0.781,1,-7.172,1,0.31,0,0.379,0.817,167.877,371592,3
300,Gaye tafatish almadi,Kamal Tarbas,7,1985,0.415,0.511,7,-6.343,1,0.68,0,0.113,0.715,136.495,492813,3
301,Gdreshinnaha,Abdel Gadir Salim,3,1999,0.567,0.38,2,-15.686,1,0.69,0.0036,0.113,0.814,87.085,579267,4
302,Gedudna zaman,Ahmed Amin,12,2020,0.703,0.34,7,-14.838,0,0.45,0.0001,0.116,0.598,144.995,233114,4
303,Geebuhu lai,Noon Alankabota,22,2022,0.661,0.673,0,-9.191,1,0.26,0.0004,0.112,0.65,122.319,190463,5
304,Geenaki,Abdel Gadir Salim,2,2003,0.383,0.3,0,-15.68,1,0.9,0.0051,0.114,0.637,146.072,463627,3
305,Geet tagol alraida khowa,Gamal Farfour,0,2015,0.545,0.803,5,-5.543,1,0.66,0.0252,0.357,0.842,83.893,208013,4
306,Geeta tani,Mahmoud Abdelaziz,9,2006,0.646,0.486,7,-9.03,1,0.55,0.0003,0.346,0.778,134.347,305638,3
307,Getar alshoog,Alblabel,1,2000,0.355,0.583,9,-7.092,1,0.98,0.447,0.136,0.718,104.627,292103,4
308,Ghab an aini,Insaf Fathi,7,2020,0.493,0.288,10,-21.306,1,0.64,0,0.758,0.933,154.199,305685,4
309,Ghab toumi,Abdel Gadir Salim,1,1999,0.453,0.491,7,-15.125,1,0.79,0.104,0.112,0.702,112.697,589733,4
310,Ghadabak gameel,Abdalla Kunna,3,2020,0.536,0.264,7,-19.675,1,0.68,0.0001,0.749,0.586,114.9,442776,3
311,Ghalabna alhawa,Mahmoud Abdelaziz,6,2002,0.739,0.886,5,-1.327,1,0.31,0.0118,0.148,0.646,111.897,401506,4
312,Ghaltan ana,Abd al Hafiz Karar,1,1999,0.47,0.113,9,-27.887,0,0.85,0.391,0.101,0.863,165.794,465333,4
313,Ghanena lelsittat,Taha Suliman,3,2020,0.515,0.255,0,-21.753,1,0.72,0,0.57,0.5,97.281,478171,4
314,Ghanna algomri ala alghoson,Ahmed Fathallah,3,2020,0.423,0.264,4,-17.565,0,0.84,0,0.597,0.765,126.76,46289,1
315,Ghannet laik,Mahmoud Abdelaziz,2,1997,0.36,0.87,2,1.681,1,0.87,0.0001,0.374,0.72,144.801,298690,3
316,Ghannu ya ekhwani,Abdel Gadir Salim,4,1999,0.553,0.432,10,-15.083,1,0.8,0.0243,0.0997,0.93,74.063,456640,4
317,Ghazalia,Gamal Farfour,12,2015,0.467,0.923,9,-2.619,0,0.73,0.0001,0.445,0.847,85.547,172069,4
318,Ghosn alreyad,Mahmoud Abdelaziz,8,1996,0.477,0.604,1,-8.499,1,0.83,0.0005,0.0737,0.921,190.71,368231,4
319,Gismi almanhool,Mohab Osman,4,2020,0.327,0.377,2,-20.067,0,0.68,0,0.903,0.653,111.095,542067,4
320,Gismy almanhool,Nancy Ajaj,12,2021,0.424,0.275,1,-18.723,0,0.97,0.133,0.0923,0.817,163.267,379768,4
321,Glebi,Asha Algabal,25,2021,0.72,0.595,5,-6.008,0,0.48,0,0.216,0.943,155.021,105430,4
322,Gorbak befarihni,Mahmoud Abdelaziz,0,1994,0.639,0.582,1,-9.266,0,0.75,0.003,0.217,0.862,155.043,335266,4
323,Gulu mashallah,Talal Alsatta,16,2017,0.707,0.701,1,-5.647,1,0.34,0,0.0593,0.902,165.989,252108,4
324,Habayebi alhilween,Hassoun,10,2017,0.512,0.722,3,-9.044,1,0.79,0,0.411,0.783,152.836,283247,4
325,Habbet ghairo,Mahmoud Abdelaziz,4,2002,0.454,0.912,7,-4.852,1,0.62,0.0019,0.558,0.694,151.449,412522,3
326,Habbetak wa neseet alkalam,Omer Elamin,12,2018,0.438,0.461,5,-10.398,0,0.78,0.0035,0.645,0.757,115.412,367595,4
327,Habbeto ma habbani,Nojoud Ajab,8,2020,0.232,0.286,11,-19.084,0,0.79,0,0.598,0.614,169.52,400039,3
328,Habbeto ma habbani,Aamir Babiker,5,2020,0.702,0.434,5,-10.926,0,0.05,0,0.396,0.861,115.053,240095,4
329,Habeebi etlagena marra,Huda Arabi,12,2020,0.35,0.244,5,-22.445,1,0.44,0,0.569,0.575,123.64,463726,4
330,Habib taal,Moddathir Meshmesh,0,2014,0.647,0.829,3,-1.943,1,0.4,0.0013,0.0838,0.675,102.916,377960,4
331,Habibi,Muhamed El Amin,1,1996,0.641,0.145,7,-23.015,1,0.82,0,0.112,0.936,91.15,439333,4
332,Habibi anta taalam,Gamal Farfour,6,2015,0.298,0.939,11,0.898,0,0.63,0,0.696,0.832,148.989,322586,3
333,Habibi gannani,Salah Alamin,3,2020,0.501,0.246,4,-22.432,0,0.61,0,0.727,0.736,109.303,234867,4
334,Habibi taal nitlam,Mamoun SwarAldahab,7,2017,0.347,0.918,5,-3.045,1,0.77,0.0023,0.223,0.886,172.072,231791,4
335,Habsha,Flippter,37,2022,0.928,0.589,10,-8.233,0,0.5,0,0.191,0.872,123.045,145366,4
